Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
Ugw4YoQpDNG_6omm4tZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-22T22:33:55.339702+00:00,0,,,TGl2X0m2oes,"{""text"":""I didn't realize I was watching a LinusTechTips video.""}",
UgxQmW5wR0_i8QXAqN54AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-21T18:48:02.426194+00:00,0,,,D8PC62NIrw8,"{""text"":""If I win the PC I'll stream for 24 hours !!! ""},{""text"":""#legion"",""hashtag"":{""hashtagId"":""legion""}},{""text"":"" ""},{""text"":""http://bit.ly/2llGv5W"",""link"":{""linkUrl"":""http://bit.ly/2llGv5W""}}",
Ugwb1nLrQ0MJ87FJBdp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-20T18:38:09.705082+00:00,0,,,DJKMbyFXjgs,"{""text"":""pregn't""}",
UgyYDumi3dYiWADG0vp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-20T17:46:29.54101+00:00,0,,,dRWIek6EJYM,"{""text"":""can't install netflix from the google play store? WTF don't buy this phone if it doesn't have full support for google play services.""}",
UgzoVYiFnK8zUxX8MOx4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-19T17:24:02.483237+00:00,0,,,r1X5PVWmZ6U,"{""text"":""I've looked into it.""}",
UgwIOx88dLxRYvdpRk14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-19T17:11:23.107721+00:00,0,,,6hUCwmt21yI,"{""text"":""#WhatIfinity"",""hashtag"":{""hashtagId"":""whatifinity""}}",
Ugzws3K7BTBTmgtOQD94AaABAg.8GcSaafrRMe8hbkmfTUaMt,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-17T23:38:41.217877+00:00,0,Ugzws3K7BTBTmgtOQD94AaABAg,,nyQdZ0cKKg8,"{""text"":""Not to mention Joey Motherfucking Diaz""}",Ugzws3K7BTBTmgtOQD94AaABAg
Ugy9paQ7-vbpTBzqR-Z4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-17T03:17:28.897987+00:00,0,,,N34iPYqtYv0,"{""text"":""disliked for ear rape""}",
UgzI99S47VP9aNJGHJ14AaABAg.8hT-n-_tW118hY9jcMzkN6,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-16T04:49:15.595135+00:00,0,UgzI99S47VP9aNJGHJ14AaABAg,,x5fb-h_l32g,"{""text"":""that'll send you to the beginning of the video.""}",UgzI99S47VP9aNJGHJ14AaABAg
UgwFZsVpk4PvhgM5jR94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-06-14T15:51:13.761286+00:00,0,,,pfZWv8HTsO8,"{""text"":""#WhatIfinity"",""hashtag"":{""hashtagId"":""whatifinity""}}",
